DATE,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME
1-Mar-18,204.66,205.99,203.99,204.99,201.99,645600
28-Feb-18,204.99,207.55,205.55,206.55,203.55,710920
27-Feb-18,206.55,207.65,205.65,206.65,203.65,728715
26-Feb-18,206.65,207.25,205.25,206.25,203.25,661997
23-Feb-18,206.25,207.88,205.88,206.88,203.88,677190
22-Feb-18,206.88,206.99,204.99,205.99,202.99,688471
21-Feb-18,205.99,206.77,204.77,205.77,202.77,737575
20-Feb-18,205.77,206.66,204.66,205.66,202.66,689293
19-Feb-18,205.66,206.55,204.55,205.55,202.55,740017
16-Feb-18,205.55,206.44,204.44,205.44,202.44,762523
15-Feb-18,205.44,206.98,204.98,205.98,202.98,739628
14-Feb-18,205.98,206.92,204.92,205.92,202.92,760181
13-Feb-18,205.92,206.91,204.91,205.91,202.91,680531
12-Feb-18,205.91,207.05,205.05,206.05,203.05,666579
9-Feb-18,206.05,207.1,205.1,206.10,203.1,747217
8-Feb-18,206.10,207.13,205.13,206.13,203.13,674780
7-Feb-18,206.13,207.18,205.18,206.18,203.18,666218
6-Feb-18,206.18,207.04,205.04,206.04,203.04,715508
2-Feb-18,206.04,207.09,205.09,206.09,203.09,742414
1-Feb-18,206.09,206.97,204.97,205.97,202.97,646754
31-Jan-18,205.97,206.94,204.94,205.94,202.94,748177
30-Jan-18,205.94,206.99,204.99,205.99,202.99,756169
29-Jan-18,205.99,206.77,204.77,205.77,202.77,652457
26-Jan-18,205.77,206.66,204.66,205.66,202.66,682327
25-Jan-18,205.66,206.55,204.55,205.55,202.55,746392
24-Jan-18,205.55,206.44,204.44,205.44,202.44,727224
23-Jan-18,205.44,206.98,204.98,205.98,202.98,659752
22-Jan-18,205.98,206.92,204.92,205.92,202.92,763011
19-Jan-18,205.92,206.91,204.91,205.91,202.91,717569
18-Jan-18,205.91,207.05,205.05,206.05,203.05,665985
17-Jan-18,206.05,207.1,205.1,206.10,203.1,658668
16-Jan-18,206.10,206.99,204.99,205.99,202.99,728607
15-Jan-18,205.99,206.77,204.77,205.77,202.77,700652
12-Jan-18,205.77,206.66,204.66,205.66,202.66,751130
11-Jan-18,205.66,206.55,204.55,205.55,202.55,697577
10-Jan-18,205.55,206.44,204.44,205.44,202.44,729658
9-Jan-18,205.44,206.98,204.98,205.98,202.98,676354
8-Jan-18,205.98,206.92,204.92,205.92,202.92,725797
5-Jan-18,205.92,206.91,204.91,205.91,202.91,666236
4-Jan-18,205.91,207.05,205.05,206.05,203.05,762688
3-Jan-18,206.05,207.1,205.1,206.10,203.1,757078
2-Jan-18,206.10,206.99,204.99,205.99,202.99,658919
1-Jan-18,205.99,206.77,204.77,205.77,202.77,740249
29-Dec-17,205.77,206.66,204.66,205.66,202.66,708491
28-Dec-17,205.66,206.55,204.55,205.55,202.55,654452
27-Dec-17,205.55,206.44,204.44,205.44,202.44,683362
26-Dec-17,205.44,206.98,204.98,205.98,202.98,686742
22-Dec-17,205.98,206.92,204.92,205.92,202.92,728850
21-Dec-17,205.92,206.91,204.91,205.91,202.91,686267
20-Dec-17,205.91,207.05,205.05,206.05,203.05,721011
19-Dec-17,206.05,207.1,205.1,206.10,203.1,686299
18-Dec-17,206.10,206.99,204.99,205.99,202.99,710402
15-Dec-17,205.99,206.77,204.77,205.77,202.77,665264
14-Dec-17,205.77,206.66,204.66,205.66,202.66,707352
13-Dec-17,205.66,206.55,204.55,205.55,202.55,747588
12-Dec-17,205.55,206.44,204.44,205.44,202.44,698954
11-Dec-17,205.44,206.98,204.98,205.98,202.98,751525
,,,,,,
,,,,,,
,,,,,,
,,,,,,
